"CountryNm","latlong","variable","value"
"BELARUS","53.91:27.55","2014-08-01",72
"BELARUS","53.91:27.55","2014-09-01",72
"BELARUS","53.91:27.55","2014-10-01",72
"BELARUS","53.91:27.55","2014-11-01",72
"BELARUS","53.91:27.55","2014-12-01",72
"TRINIDAD AND TOBAGO","10.66:-61.51","2014-10-01",71
"SAINT LUCIA","14.03:-60.98","2014-10-01",70
"SAINT LUCIA","14.03:-60.98","2014-09-01",69
"KENYA","-1.29:36.82","2014-12-01",69
"BELARUS","53.91:27.55","2014-07-01",68
"SAINT LUCIA","14.03:-60.98","2014-08-01",68
"TRINIDAD AND TOBAGO","10.66:-61.51","2014-09-01",68
"CROATIA","45.8:15.97","2014-07-01",67
"TRINIDAD AND TOBAGO","10.66:-61.51","2014-08-01",67
"KENYA","-1.29:36.82","2014-10-01",67
"KENYA","-1.29:36.82","2014-11-01",67
"SAINT LUCIA","14.03:-60.98","2014-07-01",66
"KENYA","-1.29:36.82","2014-09-01",66
"SLOVAKIA","48.16:17.13","2014-11-01",64
"SLOVAKIA","48.16:17.13","2014-12-01",64
"SLOVAKIA","48.16:17.13","2014-07-01",63
"KENYA","-1.29:36.82","2014-08-01",63
"SLOVAKIA","48.16:17.13","2014-08-01",63
"SLOVAKIA","48.16:17.13","2014-09-01",62
"SLOVAKIA","48.16:17.13","2014-10-01",62
"AZERBAIJAN","40.39:49.86","2014-12-01",60
"QATAR","25.3:51.51","2014-12-01",60
"TRINIDAD AND TOBAGO","10.66:-61.51","2014-07-01",59
"SLOVENIA","46.06:14.51","2014-12-01",59
"IRAQ","33.33:44.44","2014-12-01",58
"IRAQ","33.33:44.44","2014-10-01",57
"IRAQ","33.33:44.44","2014-11-01",57
"EL SALVADOR","13.69:-89.19","2014-12-01",57
"IRAQ","33.33:44.44","2014-08-01",55
"SEYCHELLES","-4.62:55.45","2014-08-01",55
"GHANA","5.56:-0.2","2014-09-01",55
"IRAQ","33.33:44.44","2014-09-01",55
"QATAR","25.3:51.51","2014-09-01",55
"GHANA","5.56:-0.2","2014-10-01",55
"LATVIA","56.97:24.13","2014-10-01",55
"QATAR","25.3:51.51","2014-10-01",55
"GHANA","5.56:-0.2","2014-11-01",55
